"","año","region","electores","por_participacion","votos_emitidos","votos_validos","org_politica","tipo_org_politica","votos","por_votos"
"47",2002,"AYACUCHO",309372,0.75365,233158,191576,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",13659,0.0713
"48",2002,"AYACUCHO",309372,0.75365,233158,191576,"MOVIMIENTO REGIONAL ""PARA EL DESARROLLO E INTEGRACION DE AYACUCHO - DIA""","MOVIMIENTO REGIONAL",11895,0.06209
"49",2002,"AYACUCHO",309372,0.75365,233158,191576,"PARTIDO RENACIMIENTO ANDINO","PARTIDO POLÍTICO",8776,0.04581
"50",2002,"AYACUCHO",309372,0.75365,233158,191576,"ACCION POPULAR","PARTIDO POLÍTICO",8565,0.04471
"51",2002,"AYACUCHO",309372,0.75365,233158,191576,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",7975,0.04163
"52",2002,"AYACUCHO",309372,0.75365,233158,191576,"FUERZA DEMOCRATICA","PARTIDO POLÍTICO",6951,0.03628
"53",2002,"AYACUCHO",309372,0.75365,233158,191576,"PARTIDO POLITICO NACIONAL PRIMERO PERU","PARTIDO POLÍTICO",3454,0.01803
"54",2002,"AYACUCHO",309372,0.75365,233158,191576,"VOTOS EN BLANCO",NA,13878,NA
"55",2002,"AYACUCHO",309372,0.75365,233158,191576,"VOTOS NULOS",NA,27704,NA
"56",2002,"CAJAMARCA",675538,0.81883,553150,421934,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",99863,0.23668
"57",2002,"CAJAMARCA",675538,0.81883,553150,421934,"PERU POSIBLE","PARTIDO POLÍTICO",95031,0.22523
"58",2002,"CAJAMARCA",675538,0.81883,553150,421934,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",88911,0.21072
"59",2002,"CAJAMARCA",675538,0.81883,553150,421934,"ACCION POPULAR","PARTIDO POLÍTICO",51436,0.12191
"60",2002,"CAJAMARCA",675538,0.81883,553150,421934,"PARTIDO RECONSTRUCCION DEMOCRATICA","PARTIDO POLÍTICO",23350,0.05534
"61",2002,"CAJAMARCA",675538,0.81883,553150,421934,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",21149,0.05012
"62",2002,"CAJAMARCA",675538,0.81883,553150,421934,"FUERZA DEMOCRATICA","PARTIDO POLÍTICO",19857,0.04706
"63",2002,"CAJAMARCA",675538,0.81883,553150,421934,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",17878,0.04237
"64",2002,"CAJAMARCA",675538,0.81883,553150,421934,"PARTIDO RENACIMIENTO ANDINO","PARTIDO POLÍTICO",4459,0.01057
"65",2002,"CAJAMARCA",675538,0.81883,553150,421934,"VOTOS EN BLANCO",NA,63054,NA
"66",2002,"CAJAMARCA",675538,0.81883,553150,421934,"VOTOS NULOS",NA,68162,NA
"67",2002,"CUSCO",627550,0.79884,501311,438496,"FRENTE INDEPENDIENTE MORALIZADOR","PARTIDO POLÍTICO",87057,0.19854
"68",2002,"CUSCO",627550,0.79884,501311,438496,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",77261,0.1762
"69",2002,"CUSCO",627550,0.79884,501311,438496,"MOVIMIENTO DEMOCRATICO JUNTOS POR EL PROGRESO","MOVIMIENTO REGIONAL",69193,0.1578
"70",2002,"CUSCO",627550,0.79884,501311,438496,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",66570,0.15181
"71",2002,"CUSCO",627550,0.79884,501311,438496,"MOVIMIENTO REGIONAL INKA PACHAKUTEQ","MOVIMIENTO REGIONAL",37270,0.085
"72",2002,"CUSCO",627550,0.79884,501311,438496,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",21033,0.04797
"73",2002,"CUSCO",627550,0.79884,501311,438496,"PERU POSIBLE","PARTIDO POLÍTICO",19653,0.04482
"74",2002,"CUSCO",627550,0.79884,501311,438496,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",16306,0.03719
"75",2002,"CUSCO",627550,0.79884,501311,438496,"ACCION POPULAR","PARTIDO POLÍTICO",14071,0.03209
"76",2002,"CUSCO",627550,0.79884,501311,438496,"FUERZA DEMOCRATICA","PARTIDO POLÍTICO",10230,0.02333
"77",2002,"CUSCO",627550,0.79884,501311,438496,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",8817,0.02011
"78",2002,"CUSCO",627550,0.79884,501311,438496,"PARTIDO RENACIMIENTO ANDINO","PARTIDO POLÍTICO",8164,0.01862
"79",2002,"CUSCO",627550,0.79884,501311,438496,"MOVIMIENTO AMPLIO PAIS UNIDO - MAPU","PARTIDO POLÍTICO",2871,0.00655
"80",2002,"CUSCO",627550,0.79884,501311,438496,"VOTOS EN BLANCO",NA,18462,NA
"81",2002,"CUSCO",627550,0.79884,501311,438496,"VOTOS NULOS",NA,44353,NA
"82",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"MOVIMIENTO INDEPENDIENTE DE CAMPESINOS Y PROFESIONALES - MINCAP","MOVIMIENTO REGIONAL",28604,0.20332
"83",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"PARTIDO RENACIMIENTO ANDINO","PARTIDO POLÍTICO",25091,0.17835
"84",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"MOVIMIENTO INDEPENDIENTE REGIONAL ""INTI""","MOVIMIENTO REGIONAL",24626,0.17505
"85",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"PERU POSIBLE","PARTIDO POLÍTICO",14916,0.10603
"86",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",14445,0.10268
"87",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"ACCION POPULAR","PARTIDO POLÍTICO",10667,0.07582
"88",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",10038,0.07135
"89",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"PARTIDO RECONSTRUCCION DEMOCRATICA","PARTIDO POLÍTICO",5125,0.03643
"90",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",4569,0.03248
"91",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",2601,0.01849
"92",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"VOTOS EN BLANCO",NA,12477,NA
"93",2002,"HUANCAVELICA",219844,0.77027,169339,140682,"VOTOS NULOS",NA,16180,NA
"94",2002,"HUANUCO",371818,0.75339,280123,233399,"MOVIMIENTO INDEPENDIENTE ""LUCHEMOS POR HUANUCO""","MOVIMIENTO REGIONAL",60638,0.2598
"95",2002,"HUANUCO",371818,0.75339,280123,233399,"MOVIMIENTO POPULAR REGIONAL","MOVIMIENTO REGIONAL",37362,0.16008
"96",2002,"HUANUCO",371818,0.75339,280123,233399,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",33338,0.14284
"97",2002,"HUANUCO",371818,0.75339,280123,233399,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",24589,0.10535
"98",2002,"HUANUCO",371818,0.75339,280123,233399,"PERU POSIBLE","PARTIDO POLÍTICO",19266,0.08255
"99",2002,"HUANUCO",371818,0.75339,280123,233399,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",16659,0.07138
"100",2002,"HUANUCO",371818,0.75339,280123,233399,"MOVIMIENTO AMPLIO PAIS UNIDO - MAPU","PARTIDO POLÍTICO",12112,0.05189
"101",2002,"HUANUCO",371818,0.75339,280123,233399,"ACCION POPULAR","PARTIDO POLÍTICO",10935,0.04685
"102",2002,"HUANUCO",371818,0.75339,280123,233399,"FUERZA DEMOCRATICA","PARTIDO POLÍTICO",9417,0.04035
"103",2002,"HUANUCO",371818,0.75339,280123,233399,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",9083,0.03892
"104",2002,"HUANUCO",371818,0.75339,280123,233399,"VOTOS EN BLANCO",NA,16181,NA
"105",2002,"HUANUCO",371818,0.75339,280123,233399,"VOTOS NULOS",NA,30543,NA
"106",2002,"ICA",426753,0.88518,377755,330368,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",106217,0.32151
"107",2002,"ICA",426753,0.88518,377755,330368,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",93069,0.28171
"108",2002,"ICA",426753,0.88518,377755,330368,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",54029,0.16354
"109",2002,"ICA",426753,0.88518,377755,330368,"PERU POSIBLE","PARTIDO POLÍTICO",36303,0.10989
"110",2002,"ICA",426753,0.88518,377755,330368,"ACCION POPULAR","PARTIDO POLÍTICO",22586,0.06837
"111",2002,"ICA",426753,0.88518,377755,330368,"FRENTE REGIONAL PROGRESISTA IQUEÑO - FREPROI","MOVIMIENTO REGIONAL",18164,0.05498
"112",2002,"ICA",426753,0.88518,377755,330368,"VOTOS EN BLANCO",NA,16871,NA
"113",2002,"ICA",426753,0.88518,377755,330368,"VOTOS NULOS",NA,30516,NA
"114",2002,"JUNIN",696395,0.81957,570746,486407,"UNIDOS POR JUNIN - SIERRA Y SELVA","MOVIMIENTO REGIONAL",111985,0.23023
"115",2002,"JUNIN",696395,0.81957,570746,486407,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",98280,0.20205
"116",2002,"JUNIN",696395,0.81957,570746,486407,"TODOS POR JUNIN","MOVIMIENTO REGIONAL",97214,0.19986
"117",2002,"JUNIN",696395,0.81957,570746,486407,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",53720,0.11044
"118",2002,"JUNIN",696395,0.81957,570746,486407,"PERU POSIBLE","PARTIDO POLÍTICO",30143,0.06197
"119",2002,"JUNIN",696395,0.81957,570746,486407,"ACCION POPULAR","PARTIDO POLÍTICO",28634,0.05887
"120",2002,"JUNIN",696395,0.81957,570746,486407,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",22685,0.04664
"121",2002,"JUNIN",696395,0.81957,570746,486407,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",16743,0.03442
"122",2002,"JUNIN",696395,0.81957,570746,486407,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",11963,0.02459
"123",2002,"JUNIN",696395,0.81957,570746,486407,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",8344,0.01715
"124",2002,"JUNIN",696395,0.81957,570746,486407,"MOVIMIENTO AMPLIO PAIS UNIDO - MAPU","PARTIDO POLÍTICO",6696,0.01377
"125",2002,"JUNIN",696395,0.81957,570746,486407,"VOTOS EN BLANCO",NA,34637,NA
"126",2002,"JUNIN",696395,0.81957,570746,486407,"VOTOS NULOS",NA,49702,NA
"127",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",329043,0.50897
"128",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"PERU POSIBLE","PARTIDO POLÍTICO",146329,0.22635
"129",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",68111,0.10536
"130",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",32763,0.05068
"131",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"CAPACIDAD CIUDADANA AL DESARROLLO","MOVIMIENTO REGIONAL",21458,0.03319
"132",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",20779,0.03214
"133",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",14894,0.02304
"134",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",13109,0.02028
"135",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"VOTOS EN BLANCO",NA,45066,NA
"136",2002,"LA LIBERTAD",901079,0.82971,747636,646486,"VOTOS NULOS",NA,56084,NA
"137",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",156591,0.32053
"138",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",143845,0.29444
"139",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"ACCION POPULAR","PARTIDO POLÍTICO",62842,0.12863
"140",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",40067,0.08201
"141",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",32507,0.06654
"142",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"PERU POSIBLE","PARTIDO POLÍTICO",20112,0.04117
"143",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",19538,0.03999
"144",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"PRODE - PROGRESO Y DESARROLLO","MOVIMIENTO REGIONAL",10150,0.02078
"145",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",2884,0.0059
"146",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"VOTOS EN BLANCO",NA,31679,NA
"147",2002,"LAMBAYEQUE",638020,0.861,549334,488536,"VOTOS NULOS",NA,29119,NA
"148",2002,"LIMA",503693,0.85597,431147,368785,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",133681,0.36249
"149",2002,"LIMA",503693,0.85597,431147,368785,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",75869,0.20573
"150",2002,"LIMA",503693,0.85597,431147,368785,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",53637,0.14544
"151",2002,"LIMA",503693,0.85597,431147,368785,"PERU POSIBLE","PARTIDO POLÍTICO",37392,0.10139
"152",2002,"LIMA",503693,0.85597,431147,368785,"ACCION POPULAR","PARTIDO POLÍTICO",28110,0.07622
"153",2002,"LIMA",503693,0.85597,431147,368785,"AGRUPACION INDEPENDIENTE UNION POR EL PERU - FRENTE AMPLIO","PARTIDO POLÍTICO",11245,0.03049
"154",2002,"LIMA",503693,0.85597,431147,368785,"FUERZA DEMOCRATICA","PARTIDO POLÍTICO",9982,0.02707
"155",2002,"LIMA",503693,0.85597,431147,368785,"PARTIDO RECONSTRUCCION DEMOCRATICA","PARTIDO POLÍTICO",9579,0.02597
"156",2002,"LIMA",503693,0.85597,431147,368785,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",9290,0.02519
"157",2002,"LIMA",503693,0.85597,431147,368785,"VOTOS EN BLANCO",NA,34472,NA
"158",2002,"LIMA",503693,0.85597,431147,368785,"VOTOS NULOS",NA,27890,NA
"159",2002,"LORETO",389107,0.79557,309561,282380,"UNIPOL","MOVIMIENTO REGIONAL",103084,0.36505
"160",2002,"LORETO",389107,0.79557,309561,282380,"MOVIMIENTO INDEPENDIENTE FUERZA LORETANA","MOVIMIENTO REGIONAL",90145,0.31923
"161",2002,"LORETO",389107,0.79557,309561,282380,"PERU POSIBLE","PARTIDO POLÍTICO",63937,0.22642
"162",2002,"LORETO",389107,0.79557,309561,282380,"MOVIMIENTO INDEPENDIENTE NUEVA AMAZONIA","MOVIMIENTO REGIONAL",13973,0.04948
"163",2002,"LORETO",389107,0.79557,309561,282380,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",11241,0.03981
"164",2002,"LORETO",389107,0.79557,309561,282380,"VOTOS EN BLANCO",NA,15992,NA
"165",2002,"LORETO",389107,0.79557,309561,282380,"VOTOS NULOS",NA,11189,NA
"166",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",9961,0.34552
"167",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",5650,0.19598
"168",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"SELVA SUR","MOVIMIENTO REGIONAL",3373,0.117
"169",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"ACCION POPULAR","PARTIDO POLÍTICO",3311,0.11485
"170",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",3146,0.10913
"171",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"ADELANTE MADRE DE DIOS","MOVIMIENTO REGIONAL",2017,0.06996
"172",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"FUERZA REGIONAL AMAZONICA DE MADRE DE DIOS","MOVIMIENTO REGIONAL",1371,0.04756
"173",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"VOTOS EN BLANCO",NA,900,NA
"174",2002,"MADRE DE DIOS",41500,0.75706,31418,28829,"VOTOS NULOS",NA,1689,NA
"175",2002,"MOQUEGUA",93804,0.88926,83416,75864,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",17813,0.2348
"176",2002,"MOQUEGUA",93804,0.88926,83416,75864,"COMPROMISO Y DESARROLLO","MOVIMIENTO REGIONAL",13646,0.17987
"177",2002,"MOQUEGUA",93804,0.88926,83416,75864,"NUESTRO ILO - MOQUEGUA","MOVIMIENTO REGIONAL",10781,0.14211
"178",2002,"MOQUEGUA",93804,0.88926,83416,75864,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",10429,0.13747
"179",2002,"MOQUEGUA",93804,0.88926,83416,75864,"PERU POSIBLE","PARTIDO POLÍTICO",7181,0.09466
"180",2002,"MOQUEGUA",93804,0.88926,83416,75864,"MOQUEGUA DESARROLLO - MODE","MOVIMIENTO REGIONAL",5727,0.07549
"181",2002,"MOQUEGUA",93804,0.88926,83416,75864,"ACCION POPULAR","PARTIDO POLÍTICO",3110,0.04099
"182",2002,"MOQUEGUA",93804,0.88926,83416,75864,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",3008,0.03965
"183",2002,"MOQUEGUA",93804,0.88926,83416,75864,"FUERZA DEMOCRATICA","PARTIDO POLÍTICO",2302,0.03034
"184",2002,"MOQUEGUA",93804,0.88926,83416,75864,"""FUERZA POR EL DESARROLLO DE MOQUEGUA"" F.D.M.","MOVIMIENTO REGIONAL",1867,0.02461
"185",2002,"MOQUEGUA",93804,0.88926,83416,75864,"VOTOS EN BLANCO",NA,2581,NA
"186",2002,"MOQUEGUA",93804,0.88926,83416,75864,"VOTOS NULOS",NA,4971,NA
"187",2002,"PASCO",136889,0.81326,111327,95547,"CONCERTACION EN LA REGION POR LA DESCENTRALIZACION","MOVIMIENTO REGIONAL",30485,0.31906
"188",2002,"PASCO",136889,0.81326,111327,95547,"PERU POSIBLE","PARTIDO POLÍTICO",16594,0.17367
"189",2002,"PASCO",136889,0.81326,111327,95547,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",16484,0.17252
"190",2002,"PASCO",136889,0.81326,111327,95547,"PARTIDO POLITICO NACIONAL PRIMERO PERU","PARTIDO POLÍTICO",16061,0.1681
"191",2002,"PASCO",136889,0.81326,111327,95547,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",15923,0.16665
"192",2002,"PASCO",136889,0.81326,111327,95547,"VOTOS EN BLANCO",NA,7793,NA
"193",2002,"PASCO",136889,0.81326,111327,95547,"VOTOS NULOS",NA,7987,NA
"194",2002,"PIURA",848975,0.85702,727588,616308,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",174114,0.28251
"195",2002,"PIURA",848975,0.85702,727588,616308,"PERU POSIBLE","PARTIDO POLÍTICO",127550,0.20696
"196",2002,"PIURA",848975,0.85702,727588,616308,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",90588,0.14698
"197",2002,"PIURA",848975,0.85702,727588,616308,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",60812,0.09867
"198",2002,"PIURA",848975,0.85702,727588,616308,"ACCION POPULAR","PARTIDO POLÍTICO",53168,0.08627
"199",2002,"PIURA",848975,0.85702,727588,616308,"ALIANZA ELECTORAL UNIDAD NACIONAL","ALIANZA ELECTORAL",47799,0.07756
"200",2002,"PIURA",848975,0.85702,727588,616308,"FUERZA DEMOCRATICA","PARTIDO POLÍTICO",33928,0.05505
"201",2002,"PIURA",848975,0.85702,727588,616308,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",19217,0.03118
